的 de5  "白 bai2, 勺 shao2, 日 ri4, 囗 wei2" 0 "有的 似的 目的 别的" "的 de5 of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
有的 you3de5 (there are) some (who are...); some (exist)
似的 shi4de5 seems as if; rather like
目的 mu4di4 purpose; aim; goal; target; objective
宁愿 ning4yuan4 would rather ... (than ...)
宁可 ning4ke3 preferably; one would prefer to...(or not to...); would rather; (would) be better to; (to pick) the lesser of two evils
宁波 ning2bo1 ningbo subprovincial city in zhejiang"
肥 fei2 淝腓 "月 yue4, 巴 ba1" 1349 "减肥 肥胖 肥皂 化肥" "肥 fei2 fat; fertile; loose-fitting or large; to fertilize; to become rich by illegal means; fertilizer; manure
减肥 jian3fei2 to lose weight
肥胖 fei2pang4 fat; obese
肥皂 fei2zao4 soap
化肥 hua4fei2 fertilizer"
晕 yun1 赟馧煴𫖳氲 "日 ri4, 军 jun1, 囗 wei2, 车 che1, 十 shi2" 1350 "晕倒 头晕 眩晕 红晕" "晕 yun1 confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out
晕倒 yun1dao3 to faint; to swoon; to black out; to become unconscious
头晕 tou2yun1 dizzy
眩晕 xuan4yun4 vertigo; dizziness; fainting; feeling of swaying, head spinning, lack of balance or floating (e.g. from a stroke)
红晕 hong2yun4 to blush; to flush red"
绕 rao4  "兀 wu4, 儿 er2" 1351 "围绕 环绕 绕过 缠绕" "绕 rao4 to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour
围绕 wei2rao4 to revolve around; to center on (an issue)
环绕 huan2rao4 to surround; to circle; to revolve around
绕过 rao4guo4 to detour; to bypass; to circumvent; to avoid; to wind around (of a road etc)
缠绕 chan2rao4 twisting; to twine; to wind; to pester; to bother"
抗 kang4 伉亢闶钪炕 "亢 kang4, 几 ji3" 1352 "抗议 反抗 对抗 抵抗" "抗 kang4 to resist; to fight; to defy; anti-
抗议 kang4yi4 to protest; protest
反抗 fan3kang4 to resist; to rebel
对抗 dui4kang4 to withstand; to resist; to stand off; antagonism; confrontation
抵抗 di3kang4 to resist; resistance"
逃 tao2 啕淘梼陶桃萄洮𫘦 "辶 chuo4, 兆 zhao4, 儿 er2, 八 ba1" 1353 "逃避 逃跑 逃离 逃走" "逃 tao2 to escape; to run away; to flee
逃避 tao2bi4 to escape; to evade; to avoid; to shirk
逃跑 tao2pao3 to flee from sth; to run away; to escape
逃离 tao2li2 to run out; to escape
逃走 tao2zou3 to escape; to flee; to run away"
妙 miao4 缪庙 "女 nü3, 少 shao3, 八 ba1" 1354 "美妙 奇妙 巧妙 微妙" "妙 miao4 clever; wonderful
美妙 mei3miao4 beautiful; wonderful; splendid
奇妙 qi2miao4 fantastic; wonderful
巧妙 qiao3miao4 ingenious; clever; ingenuity; artifice
微妙 wei1miao4 subtle"
爹 die1 跌 "父 fu4, 多 duo1, 八 ba1, 乂 yi4, 夕 xi1" 1355 "老爹 爹爹 爹娘 干爹" "爹 die1 dad
老爹 lao3die1 (dialect) father; old man; sir
爹爹 die1die5 daddy; granddad
爹娘 die1niang2 (dialect) parents
干爹 gan1die1 adoptive father (traditional adoption, i.e. without legal ramifications)"
饮 yin3 引瘾蚓吲隐尹 "欠 qian4, 人 ren2" 1356 "饮料 饮食 餐饮 饮酒" "饮 yin3 to drink
饮料 yin3liao4 drink; beverage
饮食 yin3shi2 eating and drinking; food and drink; diet
餐饮 can1yin3 food and beverage; catering; repast
饮酒 yin3jiu3 to drink wine"
艰 jian1 缄篯犍鞬肩尖搛鲣 "又 you4, 艮 gen3" 1357 "艰难 艰苦 艰辛 艰巨" "艰 jian1 difficult; hard; hardship
艰难 jian1nan2 difficult; hard; challenging
艰苦 jian1ku3 difficult; hard; arduous
艰辛 jian1xin1 hardships; arduous; difficult
艰巨 jian1ju4 arduous; terrible (task); very difficult; formidable"
牲 sheng1 升生陞昇甥声笙 "生 sheng1, 土 tu3, 十 shi2" 1358 "牺牲 牲口 牲畜" "牲 sheng1 domestic animal; sacrificial animal
牺牲 xi1sheng1 to sacrifice one's life; to sacrifice (sth valued); beast slaughtered as a sacrifice
牲口 sheng1kou5 animals used for their physical strength (mules, oxen etc); beast of burden
牲畜 sheng1chu4 domesticated animals; livestock"
扯 che3  "止 zhi3" 1359 "牵扯 拉扯 扯淡 胡扯" "扯 che3 to pull; to tear; (of cloth, thread etc) to buy; to chat; to gossip; hokey; to pull; to tear
牵扯 qian1che3 to involve; to implicate; to be interrelated
拉扯 la1che5 to drag; to pull; to raise a child (through difficulties); to help; to support; to drag in; to chat
扯淡 che3dan4 to talk nonsense
胡扯 hu2che3 to chatter; nonsense; blather"
幅 fu2 蝠福琈浮黻辐芣扶 "巾 jin1, 田 tian2, 口 kou3, 囗 wei2, 十 shi2" 1360 "大幅 幅度 横幅 篇幅" "幅 fu2 width; roll; classifier for textiles or pictures
大幅 da4fu2 a big margin; substantially
幅度 fu2du4 width; extent; range; scope
横幅 heng2fu2 horizontal scroll; banner; streamer
篇幅 pian1fu5 length (of a piece of writing); space occupied on a printed page"
炸 zha4 乍柞溠霅痄诈榨䃎 "火 huo3, 乍 zha4, 人 ren2, 二 er4" 1361 "爆炸 炸弹 轰炸 炸药" "炸 zha4 to burst; to explode; to blow up; (fig.) to fly into a rage
爆炸 bao4zha4 explosion; to explode; to blow up; to detonate
炸弹 zha4dan4 bomb
轰炸 hong1zha4 to bomb; to bombard
炸药 zha4yao4 explosive (material)"
污 wu1 洿呜诬圬邬巫钨乌 "亏 kui1" 1362 "污染 贪污 污水 玷污" "污 wu1 dirty; filthy; foul; corrupt; to smear; to defile; dirt; filth
污染 wu1ran3 to pollute; to contaminate (lit. and fig.)
贪污 tan1wu1 to be corrupt; corruption; to embezzle
污水 wu1shui3 sewage
玷污 dian4wu1 to stain; to sully; to tarnish"
景 jing3 井阱颈璥憬璟警汫 "日 ri4, 京 jing1, 囗 wei2, 口 kou3, 小 xiao3, 八 ba1" 1363 "背景 风景 情景 景点" "景 jing3 (bound form) scenery; circumstance; situation; scene (of a play); (literary) sunlight
背景 bei4jing3 background; backdrop; context; (fig.) powerful backer
风景 feng1jing3 scenery; landscape
情景 qing2jing3 scene; spectacle; circumstances; situation
景点 jing3dian3 tourist attraction; scenic spot"
嗯 ng2  "口 kou3, 恩 en1, 因 yin1, 心 xin1, 囗 wei2, 大 da4, 人 ren2" 1364  "嗯 en1 (a groaning sound)"
扶 fu2 芙芣辐袱绋洑涪服 "夫 fu1, 二 er4, 人 ren2" 1365 "扶持 扶贫 扶手 搀扶" "扶 fu2 to support with the hand; to help sb up; to support oneself by holding onto something; to help
扶持 fu2chi2 to help; to assist
扶贫 fu2pin2 assistance to the poor; poverty alleviation
扶手 fu2shou3 handrail; armrest
搀扶 chan1fu2 to lend an arm to support sb"
监 jian1 肩鞯鳒缣坚菅犍艰 "皿 min3" 1366 "监督 监狱 监视 监控" "监 jian1 to supervise; to inspect; jail; prison
监督 jian1du1 to control; to supervise; to inspect
监狱 jian1yu4 prison
监视 jian1shi4 to monitor; to keep a close watch over; surveillance
监控 jian1kong4 to monitor"
毒 du2 渎犊牍髑椟黩读独 "母 mu3, 土 tu3, 十 shi2" 1367 "病毒 毒品 消毒 中毒" "毒 du2 poison; to poison; poisonous; malicious; cruel; fierce; narcotics
病毒 bing4du2 virus
毒品 du2pin3 drugs; narcotics; poison
消毒 xiao1du2 to disinfect; to sterilize
中毒 zhong4du2 to be poisoned"
挖 wa1 洼哇畖娲蛙窊 "穵 wa1, 穴 xue2, 八 ba1" 1368 "挖掘 开挖" "挖 wa1 to dig; to excavate; to scoop out
挖掘 wa1jue2 to excavate; to dig; to unearth
开挖 kai1wa1 to dig out; to excavate; to scoop out; to start digging"
抄 chao1 怊弨超焯钞 "少 shao3, 八 ba1" 1369 "抄袭 抄家 抄写 抄录" "抄 chao1 to make a copy; to plagiarize; to search and seize; to raid; to grab; to go off with; to take a shortcut; to make a turning move; to fold one's arms
抄袭 chao1xi2 to plagiarize; to copy; to attack the flank or rear of an enemy
抄家 chao1jia1 to search a house and confiscate possessions
抄写 chao1xie3 to copy; to transcribe
抄录 chao1lu4 to make a copy of"
冒 mao4 瞀鄚眊贸耄袤懋貌 "日 ri4, 目 mu4, 囗 wei2" 1370 "感冒 冒险 冒充 假冒" "冒 mao4 to emit; to give off; to send out (or up, forth); to brave; to face; reckless; to falsely adopt (sb's identity etc); to feign; (literary) to cover
感冒 gan3mao4 to catch cold; (common) cold; (coll.) to be interested in (often used in the negative); can't stand
冒险 mao4xian3 to take risks; to take chances; foray; adventure
冒充 mao4chong1 to feign; to pretend to be; to pass oneself off as
假冒 jia3mao4 to impersonate; to pose as (someone else); to counterfeit; to palm off (a fake as a genuine)"
贼 zei2 鲗 "贝 bei4, 戎 rong2, 人 ren2, 戈 ge1, 弋 yi4" 1371 "盗贼 窃贼 抓贼 贼船" "贼 zei2 thief; traitor; wily; deceitful; evil; extremely
盗贼 dao4zei2 robber
窃贼 qie4zei2 thief
抓贼 zhua1zei2 to catch a thief
贼船 zei2chuan2 pirate ship; fig. venture of dubious merit; criminal gang; reactionary faction"
怒 nu4 傉 "奴 nu2, 心 xin1, 女 nü3, 又 you4" 1372 "愤怒 怒火 大怒 恼怒" "怒 nu4 anger; fury; flourishing; vigorous
愤怒 fen4nu4 angry; indignant; wrath; ire
怒火 nu4huo3 rage; fury; hot anger
大怒 da4nu4 to become furious; to explode in anger
恼怒 nao3nu4 resentful; angry; to enrage sb"
砸 za2 杂 "石 dan4, 匝 za1, 口 kou3, 巾 jin1" 1373 "砸碎 砸死 砸烂 砸坏" "砸 za2 to smash; to pound; to fail; to muck up; to bungle
砸碎 za2sui4 to pulverize; to smash to bits
砸死 za2si3 to crush to death
砸烂 za2lan4 to smash
砸坏 za2huai4 to smash; to shatter"
混 hun4 溷诨 "昆 kun1, 日 ri4, 比 bi3, 囗 wei2, 匕 bi3" 1374 "混乱 混合 混蛋 混淆" "混 hun4 to mix; to mingle; muddled; to drift along; to muddle along; to pass for; to get along with sb; thoughtless; reckless
混乱 hun4luan4 confusion; chaos; disorder
混合 hun4he2 to mix; to blend; hybrid; composite
混蛋 hun2dan4 scoundrel; bastard; hoodlum; wretch
混淆 hun4xiao2 to obscure; to confuse; to mix up; to blur; to mislead"
悄 qiao3 巧愀 "肖 xiao4, 卜 bu3, 月 yue4" 1375 "悄悄 悄然 悄声" "悄 qiao3 quiet; sad
悄悄 qiao1qiao1 quiet; making little or no noise; surreptitious; stealthy; anxious; worried
悄然 qiao3ran2 quietly; sorrowfully
悄声 qiao3sheng1 quietly; in a low voice"
匹 pi3 嚭痞圮仳癖苉 "儿 er2" 1376 "匹配 马匹 布匹 匹敌" "匹 pi3 classifier for horses, mules etc; ordinary person; classifier for cloth: bolt; horsepower; classifier for cloth: bolt
匹配 pi3pei4 to mate or marry; to match; matching; compatible
马匹 ma3pi3 horse
布匹 bu4pi3 cloth (by the yard)
匹敌 pi3di2 to be equal to; to be well-matched; rival"
刷 shua1 唰 "尸 shi1, 巾 jin1" 1377 "印刷 刷牙 牙刷 刷新" "刷 shua1 to brush; to paint; to daub; to paste up; to skip class (of students); to fire from a job
印刷 yin4shua1 to print; printing
刷牙 shua1ya2 to brush one's teeth
牙刷 ya2shua1 toothbrush
刷新 shua1xin1 to renovate; to refurbish; to refresh (computer window); to write a new page (in history); to break (a record)"
核 he2 荷河盍曷和何翮菏 "木 mu4, 十 shi2, 人 ren2" 1378 "核心 考核 审核 核实" "核 he2 pit; stone; nucleus; nuclear; to examine; to check; to verify; to investigate
核心 he2xin1 core; nucleus
考核 kao3he2 to examine; to check up on; to assess; to review; appraisal; review; evaluation
审核 shen3he2 to audit; to investigate thoroughly
核实 he2shi2 to verify; to check"
温 wen1 鳁瘟辒蕰榅 "日 ri4, 皿 min3, 囗 wei2" 1379 "温暖 温柔 温度 温馨" "温 wen1 warm; lukewarm; temperature; to warm up; mild; soft; tender; to review (a lesson etc); fever (tcm)
温暖 wen1nuan3 warm
温柔 wen1rou2 gentle and soft; tender
温度 wen1du4 temperature
温馨 wen1xin1 comfort; soft and fragrant; warm"
胡 hu2 葫醐壶槲煳狐觳蝴 "古 gu3, 月 yue4, 十 shi2, 口 kou3" 1380 "胡同 胡子 胡乱 胡说" "胡 hu2 non-han people, esp. from central asia; reckless; outrageous; what?; why?; beard; mustache; whiskers
胡同 hu2tong4 lane; alley
胡子 hu2zi5 beard; mustache or whiskers; facial hair; (coll.) bandit
胡乱 hu2luan4 careless; reckless; casually; absent-mindedly; at will; at random; any old how
胡说 hu2shuo1 to talk nonsense; drivel"
珠 zhu1 铢诛侏潴蛛槠株邾 "朱 zhu1, 十 shi2, 未 wei4, 木 mu4" 1381 "珍珠 珠宝 明珠 眼珠" "珠 zhu1 bead; pearl
珍珠 zhen1zhu1 pearl
珠宝 zhu1bao3 pearls; jewels; precious stones
明珠 ming2zhu1 pearl; jewel (of great value)
眼珠 yan3zhu1 one's eyes; eyeball"
季 ji4 稷鲫𬶭冀迹计霁济 "禾 he2, 子 zi5, 木 mu4, 十 shi2, 了 le5" 1382 "季节 冬季 夏季 季度" "季 ji4 season; the last month of a season; fourth or youngest amongst brothers; classifier for seasonal crop yields
季节 ji4jie2 time; season; period
冬季 dong1ji4 winter
夏季 xia4ji4 summer
季度 ji4du4 quarter of a year; season (sports)"
昆 kun1 鲲髡焜锟堃婫醌琨 "日 ri4, 比 bi3, 囗 wei2, 匕 bi3" 1383 "昆明 昆虫 昆仑 昆曲" "昆 kun1 (also used for transliteration); descendant; elder brother; a style of chinese poetry
昆明 kun1ming2 kunming prefecture-level city and capital of yunnan province in southwest china
昆虫 kun1chong2 insect
昆仑 kun1lun2 kunlun (karakorum) mountain range in xinjiang
昆曲 kun1qu3 kunqu opera, influential musical theater originating in kunshan, jiangsu province in yuan times"
拼 pin1 姘 "并 bing4, 开 kai1, 廾 gong3, 十 shi2" 1384 "拼命 拼音 拼搏 拼写" "拼 pin1 to piece together; to join together; to stake all; adventurous; at the risk of one's life; to spell
拼命 pin1ming4 to do one's utmost; with all one's might; at all costs; (to work or fight) as if one's life depends on it
拼音 pin1yin1 phonetic writing; pinyin (chinese romanization)
拼搏 pin1bo2 to struggle; to wrestle
拼写 pin1xie3 to spell"
拜 bai4 败稗 "丰 feng1, 三 san1, 二 er4" 1385 "崇拜 礼拜 拜访 拜托" "拜 bai4 to pay respect; worship; visit; salute
崇拜 chong2bai4 to worship; adoration
礼拜 li3bai4 to attend a religious service; (coll.) week; (coll.) sunday
拜访 bai4fang3 to pay a visit; to call on
拜托 bai4tuo1 to request sb to do sth"
饰 shi4 䏡拭势媞螫氏视示 "巾 jin1" 1386 "装饰 服饰 掩饰 修饰" "饰 shi4 decoration; ornament; to decorate; to adorn; to hide; to conceal (a fault); excuse (to hide a fault); to play a role (in opera); to impersonate
装饰 zhuang1shi4 to decorate; decoration; decorative; ornamental
服饰 fu2shi4 apparel; clothing and personal adornment
掩饰 yan3shi4 to cover up; to conceal; to mask; to gloss over
修饰 xiu1shi4 to decorate; to adorn; to dress up; to polish (a written piece); to qualify or modify (grammar)"
模 mo2 摹嬷膜蘑摩藦嫫磨 "木 mu4, 莫 mo4, 十 shi2, 日 ri4, 大 da4, 囗 wei2, 人 ren2" 1387 "模式 规模 模样 模糊" "模 mo2 to imitate; model; norm; pattern
模式 mo2shi4 mode; method; pattern
规模 gui1mo2 scale; scope; extent
模样 mu2yang4 look; style; appearance; approximation; about
模糊 mo2hu5 vague; indistinct; fuzzy"
伴 ban4 办靽湴柈绊拌瓣半 "半 ban4, 二 er4" 1388 "伙伴 伴随 同伴 陪伴" "伴 ban4 partner; companion; comrade; associate; to accompany
伙伴 huo3ban4 partner; companion; comrade
伴随 ban4sui2 to accompany; to follow; to occur together with; concomitant
同伴 tong2ban4 companion; comrade; fellow
陪伴 pei2ban4 to accompany"
尖 jian1 鳒煎犍笺鞬菅湔鹣 "八 ba1, 大 da4, 人 ren2" 1389 "尖叫 尖锐 顶尖 脚尖" "尖 jian1 pointed; tapering; sharp; (of a sound) shrill; piercing; (of one's hearing, sight etc) sharp; acute; keen; to make (one's voice) shrill; sharp point; tip; the best of sth; the cream of the crop
尖叫 jian1jiao4 to screech; to shriek
尖锐 jian1rui4 sharp; intense; penetrating; pointed; acute (illness)
顶尖 ding3jian1 peak; apex; world best; number one; finest (competitors); top (figures in a certain field)
脚尖 jiao3jian1 the extremity of the foot"
丫 ya1 鸦呀压押垭鸭桠  1390 "丫头 丫鬟 丫环" "丫 ya1 fork; branch; bifurcation; girl
丫头 ya1tou5 girl; servant girl; (used deprecatingly, but sometimes also as a term of endearment)
丫鬟 ya1huan5 servant girl; maid
丫环 ya1huan5 servant girl; maid"
玄 xuan2 悬痃璇漩玹暶𫠊旋 "幺 yao1" 1391 "玄机 玄武 玄妙 玄学" "玄 xuan2 black; mysterious
玄机 xuan2ji1 mysterious principles
玄武 xuan2wu3 black tortoise (the seven mansions of the north sky); (in daoism) god of the north sky
玄妙 xuan2miao4 mysterious; profound; abstruse
玄学 xuan2xue2 wei and jin philosophical school amalgamating daoist and confucian ideals"
浑 hun2 馄魂珲 "军 jun1, 车 che1, 十 shi2" 1392 "浑身 浑浊 浑厚 浑圆" "浑 hun2 muddy; to mix
浑身 hun2shen1 all over; from head to foot
浑浊 hun2zhuo2 muddy; turbid
浑厚 hun2hou4 simple and honest; unsophisticated; (music etc) deep and resounding
浑圆 hun2yuan2 perfectly round; (fig.) accommodating; considerate; smooth (way of doing things)"
孔 kong3 恐倥 "子 zi5, 了 le5" 1393 "面孔 孔雀 鼻孔 脸孔" "孔 kong3 hole; classifier for cave dwellings
面孔 mian4kong3 face
孔雀 kong3que4 peacock
鼻孔 bi2kong3 nostril
脸孔 lian3kong3 face"
厨 chu2 躇除蹰雏刍滁蜍锄 "厂 chang3, 豆 dou4, 寸 cun4, 口 kou3" 1394 "厨房 厨师 厨子 下厨" "厨 chu2 kitchen
厨房 chu2fang2 kitchen
厨师 chu2shi1 cook; chef
厨子 chu2zi5 cook
下厨 xia4chu2 to go to the kitchen (to prepare a meal); to cook"
灿 can4 璨粲 "火 huo3, 山 shan1, 人 ren2, 凵 kan3" 1395 灿烂 "灿 can4 glorious; bright; brilliant; lustrous; resplendent
灿烂 can4lan4 to glitter; brilliant; splendid"
吁 xu1 胥顼魆盱旴嘘欻墟 "口 kou3, 于 yu2" 1396 呼吁 "吁 xu1 sh; hush
呼吁 hu1yu4 to call on (sb to do sth); to appeal (to); an appeal"
峰 feng1 烽疯蜂锋丰崶风沨 "山 shan1, 夆 feng2, 凵 kan3, 丰 feng1, 三 san1, 二 er4" 1397 "高峰 山峰 顶峰 珠峰" "峰 feng1 (of a mountain) high and tapered peak or summit; mountain-like in appearance; highest level; classifier for camels
高峰 gao1feng1 peak; summit; height
山峰 shan1feng1 (mountain) peak
顶峰 ding3feng1 peak; summit; fig. high point; masterpiece
珠峰 zhu1feng1 mt everest; nepalese: sagarmatha"
庙 miao4 妙缪 "广 guang3, 由 you2, 厂 chang3, 日 ri4, 囗 wei2" 1398 "寺庙 神庙 庙宇 庙会" "庙 miao4 temple; ancestral shrine; temple fair; great imperial hall; imperial
寺庙 si4miao4 temple; monastery; shrine
神庙 shen2miao4 temple
庙宇 miao4yu3 temple
庙会 miao4hui4 temple fair"
镇 zhen4 朕赈圳震纼揕阵鸩 "真 zhen1, 二 er4, 十 shi2, 具 ju4, 三 san1, 八 ba1" 1399 "小镇 镇压 城镇 乡镇" "镇 zhen4 to press down; to calm; to subdue; to suppress; to guard; garrison; small town; to cool or chill (food or drinks)
小镇 xiao3zhen4 small town; village
镇压 zhen4ya1 suppression; repression; to suppress; to put down; to quell
城镇 cheng2zhen4 town; cities and towns
乡镇 xiang1zhen4 village; township"
脆 cui4 悴粹萃翠毳啐瘁淬 "危 wei1, 厂 chang3" 1400 "干脆 脆弱 清脆" "脆 cui4 brittle; fragile; crisp; crunchy; clear and loud voice; neat
干脆 gan1cui4 candid; direct and to the point; simply; just; might as well
脆弱 cui4ruo4 weak; frail
清脆 qing1cui4 sharp and clear; crisp; melodious; ringing; tinkling; silvery (of sound); fragile; frail"
耐 nai4 佴萘奈鼐柰 "而 er2, 寸 cun4" 1401 "耐心 忍耐 耐力 耐性" "耐 nai4 (bound form) to bear; to endure; to withstand
耐心 nai4xin1 to be patient; patience
